Id,Label,timeset,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,clustering,triangles,eigencentrality
11110,,,1,4,8,22,0.105052,0.121868,0,0,0.466321,0,0.000052,0.000052,29,1,6,0.051721
11111,,,1,9,24,22,0.10831,0.127563,25013.00257,0.005534,0.064205,0.000355,0.000068,0.000068,29,0.472222,17,0.095468
3274,,,1,24,70,21,0.117982,0.146967,85500.023239,0.018918,0.009335,0.000177,0.001994,0.001994,15,0.173913,48,0.349085
3733,,,1,7,14,20,0.121358,0.144924,45277.555611,0.010018,0.134597,0.001348,0.001582,0.001582,44,0.428571,9,0.094075
6747,,,1,4,8,21,0.113232,0.134108,0,0,0.593512,0,0.000723,0.000723,15,1,6,0.098042
6748,,,1,4,8,21,0.113232,0.134108,0,0,0.593512,0,0.000723,0.000723,15,1,6,0.098042
7161,,,1,11,22,19,0.130179,0.158783,242839.238928,0.053731,0.053352,0.002867,0.010862,0.010862,18,0.272727,15,0.169091
11192,,,1,1,2,21,0.110458,0.127247,0,0,13,0,0.000192,0.000192,15,0,0,0.019415
1655,,,1,4,8,21,0.116159,0.138578,0,0,0.43073,0,0.000725,0.000725,15,1,6,0.101563
1656,,,1,4,8,21,0.116159,0.138578,0,0,0.43073,0,0.000725,0.000725,15,1,6,0.101563
1657,,,1,4,8,21,0.116159,0.138578,0,0,0.43073,0,0.000725,0.000725,15,1,6,0.101563
1658,,,1,36,100,20,0.126947,0.160403,446376.199445,0.098766,0.003399,0.000336,0.003298,0.003298,15,0.087302,55,0.455912
3244,,,1,13,46,21,0.116659,0.142667,38947.883264,0.008618,0.039767,0.000343,0.001249,0.001249,15,0.333333,26,0.23003
3275,,,1,9,24,21,0.116483,0.140578,2517.962874,0.000557,0.075948,0.000042,0.001143,0.001143,15,0.5,18,0.187966
3276,,,1,4,8,21,0.112786,0.132712,0,0,0.548957,0,0.000631,0.000631,15,1,6,0.097713
3277,,,1,4,8,21,0.112786,0.132712,0,0,0.548957,0,0.000631,0.000631,15,1,6,0.097713
7808,,,1,5,16,21,0.112892,0.133804,4.235714,0.000001,0.375705,0,0.000709,0.000709,15,0.9,9,0.116984
7809,,,1,9,24,21,0.112909,0.134469,12016.235714,0.002659,0.068535,0.000182,0.000744,0.000744,15,0.416667,15,0.132243
13369,,,1,4,8,21,0.112803,0.132933,0,0,0.616661,0,0.000601,0.000601,15,1,6,0.095013
975,,,1,4,8,25,0.064127,0.071931,0,0,0.346154,0,0,0,16,1,6,0.031255
976,,,1,4,8,25,0.064127,0.071931,0,0,0.346154,0,0,0,16,1,6,0.031255
977,,,1,6,14,25,0.064173,0.07279,34,0.000008,0.130031,0.000001,0,0,16,0.6,9,0.041844
978,,,1,18,40,24,0.068515,0.080383,133605,0.029562,0.012112,0.000358,0,0,16,0.163399,25,0.099426
979,,,1,4,8,25,0.064127,0.071931,0,0,0.346154,0,0,0,16,1,6,0.031255
5875,,,1,7,18,25,0.064214,0.073691,46161,0.010214,0.103926,0.001061,0,0,16,0.428571,9,0.048917
11037,,,1,3,6,25,0.064168,0.072291,0,0,0.913043,0,0,0,16,1,3,0.028701
5577,,,1,2,4,25,0.064125,0.071598,0,0,0.9,0,0,0,16,1,1,0.017968
5578,,,1,2,4,25,0.064125,0.071598,0,0,0.9,0,0,0,16,1,1,0.017968
5873,,,1,5,12,25,0.064211,0.073359,46066,0.010193,0.24466,0.002494,0,0,16,0.6,6,0.039225
5874,,,1,3,6,25,0.064168,0.072291,0,0,0.836653,0,0,0,16,1,3,0.028319
7427,,,1,4,8,24,0.068445,0.077528,0,0,0.53617,0,0,0,16,1,6,0.038372
7428,,,1,8,16,23,0.073381,0.084584,153660,0.033999,0.090387,0.003073,0,0,16,0.428571,12,0.058615
