Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,modularity_class,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,clustering,triangles,eigencentrality
7806,,,1,2,2,0.555556,0.6,0,0,0,1178,0,0,5,0,0,0,0.00362
7594,,,2,4,1,1,1,0,0,0,1179,0,0,0.5,0,1,1,0.003491
7595,,,2,4,1,1,1,0,0,0,1179,0,0,0.5,0,1,1,0.003491
7596,,,2,4,1,1,1,0,0,0,1179,0,0,0.5,0,1,1,0.003491
7599,,,4,8,25,0.090676,0.102618,0,0.000086,0.000086,1,28,0,0.336538,0,1,6,0.023643
7600,,,4,8,25,0.090676,0.102618,0,0.000086,0.000086,1,28,0,0.336538,0,1,6,0.023643
7603,,,4,8,25,0.090676,0.102618,0,0.000086,0.000086,1,28,0,0.336538,0,1,6,0.023643
12566,,,4,8,26,0.083649,0.093872,0,0.000013,0.000013,1,28,0,0.326087,0,1,6,0.023194
12567,,,4,8,26,0.083649,0.093872,0,0.000013,0.000013,1,28,0,0.326087,0,1,6,0.023194
12568,,,4,8,26,0.083649,0.093872,0,0.000013,0.000013,1,28,0,0.326087,0,1,6,0.023194
7612,,,4,8,1,1,1,0,0,0,1180,0,0,0.25,0,1,6,0.012906
7613,,,4,8,1,1,1,0,0,0,1180,0,0,0.25,0,1,6,0.012906
7614,,,4,8,1,1,1,0,0,0,1180,0,0,0.25,0,1,6,0.012906
7615,,,4,8,1,1,1,0,0,0,1180,0,0,0.25,0,1,6,0.012906
7616,,,4,8,1,1,1,0,0,0,1180,0,0,0.25,0,1,6,0.012906
13312,,,1,2,3,0.444444,0.5,0,0,0,774,0,0,5,0,0,0,0.004218
7621,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
7622,,,8,16,1,1,1,16,0,0,1181,0,0,0.0625,0,0.428571,12,0.028941
7623,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
7624,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
7625,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
8654,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
8655,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
8656,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
8657,,,4,8,2,0.666667,0.75,0,0,0,1181,0,0,0.285714,0,1,6,0.016624
7627,,,3,6,1,1,1,0,0,0,1182,0,0,0.333333,0,1,3,0.007127
7628,,,3,6,1,1,1,0,0,0,1182,0,0,0.333333,0,1,3,0.007127
7629,,,3,6,1,1,1,0,0,0,1182,0,0,0.333333,0,1,3,0.007127
7630,,,3,6,1,1,1,0,0,0,1182,0,0,0.333333,0,1,3,0.007127
7631,,,2,6,1,1,1,0,0,0,1183,0,0,0.5,0,1,1,0.003491
7632,,,2,6,1,1,1,0,0,0,1183,0,0,0.5,0,1,1,0.003491
12496,,,2,4,1,1,1,0,0,0,1183,0,0,0.5,0,1,1,0.003491
7640,,,4,8,7,0.278788,0.355487,0,0,0,121,0,0,0.294118,0,1,6,0.020264
7641,,,4,8,7,0.278788,0.355487,0,0,0,121,0,0,0.294118,0,1,6,0.020264
7642,,,4,8,7,0.278788,0.355487,0,0,0,121,0,0,0.294118,0,1,6,0.020264
7643,,,4,8,7,0.278788,0.355487,0,0,0,121,0,0,0.294118,0,1,6,0.020264
7644,,,10,22,6,0.373984,0.500362,293.5,0,0,121,0,0.000003,0.041791,0,0.288889,13,0.051555
8140,,,12,28,6,0.380165,0.522101,289,0,0,121,0,0.000003,0.028237,0,0.272727,18,0.06515
10296,,,2,6,6,0.319444,0.371739,0,0,0,121,0,0,1.875,0,1,1,0.014612
11844,,,4,8,7,0.304636,0.400776,0,0,0,121,0,0,0.433884,0,1,6,0.03015
11845,,,4,8,7,0.304636,0.400776,0,0,0,121,0,0,0.433884,0,1,6,0.03015
7645,,,3,6,1,1,1,0,0,0,1184,0,0,0.333333,0,1,3,0.007127
7646,,,3,6,1,1,1,0,0,0,1184,0,0,0.333333,0,1,3,0.007127
7647,,,3,6,1,1,1,0,0,0,1184,0,0,0.333333,0,1,3,0.007127
7648,,,3,6,1,1,1,0,0,0,1184,0,0,0.333333,0,1,3,0.007127
7649,,,2,4,1,1,1,0,0,0,1185,0,0,0.5,0,1,1,0.003491
7650,,,2,4,1,1,1,0,0,0,1185,0,0,0.5,0,1,1,0.003491
7651,,,2,4,1,1,1,0,0,0,1185,0,0,0.5,0,1,1,0.003491
7660,,,4,8,1,1,1,0,0,0,1186,0,0,0.25,0,1,6,0.012906
7661,,,4,8,1,1,1,0,0,0,1186,0,0,0.25,0,1,6,0.012906
7662,,,4,8,1,1,1,0,0,0,1186,0,0,0.25,0,1,6,0.012906
7663,,,4,8,1,1,1,0,0,0,1186,0,0,0.25,0,1,6,0.012906
7664,,,4,8,1,1,1,0,0,0,1186,0,0,0.25,0,1,6,0.012906
7670,,,1,2,1,1,1,0,0,0,1187,0,0,1,0,0,0,0.00128
7671,,,1,2,1,1,1,0,0,0,1187,0,0,1,0,0,0,0.00128
7672,,,1,2,1,1,1,0,0,0,1188,0,0,1,0,0,0,0.00128
7673,,,1,2,1,1,1,0,0,0,1188,0,0,1,0,0,0,0.00128
7674,,,4,8,1,1,1,0,0,0,1189,0,0,0.25,0,1,6,0.012906
